Actual,Predicted,Correct
DoS,DoS,True
DoS,DoS,True
Normal,Normal,True
Probe,Probe,True
Probe,Normal,False
Normal,Normal,True
Normal,Normal,True
R2L,Normal,False
Normal,Normal,True
R2L,Normal,False
Probe,Normal,False
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
Probe,DoS,False
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
Normal,Probe,False
Probe,Probe,True
Probe,Normal,False
Normal,Normal,True
U2R,Normal,False
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
Probe,DoS,False
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
R2L,Normal,False
Normal,Normal,True
DoS,DoS,True
R2L,Normal,False
DoS,Normal,False
Normal,Normal,True
R2L,Normal,False
R2L,Normal,False
Normal,Normal,True
Normal,Normal,True
Probe,Probe,True
Normal,Normal,True
Probe,Probe,True
DoS,DoS,True
DoS,DoS,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
DoS,Normal,False
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
Probe,Probe,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
U2R,Normal,False
R2L,Normal,False
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
Probe,Probe,True
DoS,DoS,True
Probe,Probe,True
R2L,Normal,False
DoS,DoS,True
DoS,DoS,True
Normal,Normal,True
DoS,DoS,True
U2R,U2R,True
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
DoS,Normal,False
DoS,Normal,False
Normal,Normal,True
DoS,DoS,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
R2L,Normal,False
Normal,Normal,True
DoS,DoS,True
Probe,Probe,True
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
R2L,Normal,False
DoS,DoS,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,Normal,False
Normal,Normal,True
DoS,Normal,False
Normal,Normal,True
DoS,DoS,True
R2L,Normal,False
Probe,Normal,False
Normal,Normal,True
Normal,Normal,True
Normal,Normal,True
DoS,DoS,True
DoS,DoS,True
